（輸入）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"2,852,811",96.9%,"22,997,615",100.0%,100.0%
1,中国,"1,256,250",97.2%,"9,872,431",99.9%,42.9%
,(香港),"126,959",81.1%,"1,079,662",83.2%,4.7%
2,アメリカ,"305,217",97.3%,"2,642,044",93.6%,11.5%
3,タイ,"177,492",90.0%,"1,533,380",96.5%,6.7%
4,ベトナム,"179,099",100.3%,"1,426,025",111.2%,6.2%
5,台湾,"124,514",103.6%,"1,068,018",111.6%,4.6%
6,韓国,"114,654",110.4%,"899,037",99.6%,3.9%
7,カナダ,"93,115",81.9%,"813,974",96.6%,3.5%
8,シンガポール,"103,236",100.4%,"765,678",107.4%,3.3%
9,マレーシア,"83,957",115.3%,"670,236",109.5%,2.9%
10,インドネシア,"72,878",90.6%,"592,855",103.0%,2.6%
11,フィリピン,"41,122",75.9%,"377,989",86.8%,1.6%
12,ドイツ,"41,780",77.4%,"363,840",96.7%,1.6%
13,オランダ,"38,989",85.3%,"318,846",92.1%,1.4%
14,フランス,"28,329",88.3%,"216,273",101.9%,0.9%
15,チリ,"24,268",124.8%,"199,606",75.0%,0.9%
16,ニュージーランド,"13,389",66.0%,"160,179",97.0%,0.7%
17,イタリア,"18,208",132.9%,"116,625",111.4%,0.5%
18,イギリス,"14,100",85.7%,"110,340",100.8%,0.5%
19,メキシコ,"13,771",74.5%,"93,924",70.4%,0.4%
20,ブラジル,"14,588",126.6%,"86,835",138.6%,0.4%
,その他,"93,855",112.1%,"669,480",110.3%,2.9%
10,イン�,,,,,,
林産品,,"1,260,547","112,618","1,147,929","1,293,280","75,937","1,217,343","-32,733",97.5%,,,,,,,
12,原木,"6,594","2,987","3,607","4,742","2,342","2,400","1,852",139.1%,,,,,,,
13,製材,"1,084,870","94,647","990,223","1,114,580","59,776","1,054,804","-29,710",97.3%,,,,,,,
14,樹脂類,"98,452","11,197","87,255","102,858","9,411","93,447","-4,406",95.7%,,,,,,,
15,木材チップ,"14,222",146,"14,076","5,026",229,"4,797","9,196",283.0%,,,,,,,
16,その他林産品,"5,895","3,130","2,765","9,921","3,792","6,129","-4,026",59.4%,,,,,,,
17,薪炭,"50,514",511,"50,003","56,153",387,"55,766","-5,639",90.0%,,,,,,,
鉱産品,,"6,383,573","90,178","6,293,395","6,066,046","76,718","5,989,328","317,527",105.2%,,,,,,,
18,石炭,"129,533",256,"129,277","163,146","13,706","149,440","-33,613",79.4%,,,,,,,
19,鉄鉱石,259,31,228,294,21,273,-35,88.1%,,,,,,,
20,金属鉱,"13,848","4,090","9,758","6,440",775,"5,665","7,408",215.0%,,,,,,,
21,砂利・砂,"4,475,085","49,017","4,426,068","4,309,876","28,318","4,281,558","165,209",103.8%,,,,,,,
22,石材,"1,154,396","6,481","1,147,915","974,643","4,991","969,652","179,753",118.4%,,,,,,,
23,原油,"1,958",38,"1,920","2,280",30,"2,250",-322,85.9%,,,,,,,
24,りん鉱石,-,-,-,57,-,57,-57,-,,,,,,,
25,石灰石,"364,528","1,100","363,428","344,597","2,150","342,447","19,931",105.8%,,,,,,,
26,原塩,"14,081",135,"13,946","10,939",125,"10,814","3,142",128.7%,,,,,,,
27,非金属鉱物,"229,885","29,030","200,855","253,774","26,602","227,172","-23,889",90.6%,,,,,,,
金属機械工業品,,"30,156,781","14,030,298","16,126,483","28,685,478","13,640,218","15,045,260","1,471,303",105.1%,,,,,,,
28,鉄鋼,"107,266","50,369","56,897","93,849","30,988","62,861","13,417",114.3%,,,,,,,
29,鋼材,"1,563,134","299,367","1,263,767","1,496,332","292,002","1,204,330","66,802",104.5%,,,,,,,
30,非鉄金属,"298,972","101,146","197,826","327,696","118,646","209,050","-28,724",91.2%,,,,,,,
31,金属製品,"1,878,730","397,378","1,481,352","1,678,804","338,942","1,339,862","199,926",111.9%,,,,,,,
32,鉄道車両,"4,324","1,370","2,954","3,779","1,603","2,176",545,114.4%,,,,,,,
33,完成自動車,"14,151,554","8,099,541","6,052,013","13,414,844","7,904,168","5,510,676","736,710",105.5%,,,,,,,
34,その他輸送用車両,"135,672","18,262","117,410","112,586","16,617","95,969","23,086",120.5%,,,,,,,
35,二輪自動車,"63,419","7,833","55,586","56,212","9,520","46,692","7,207",112.8%,,,,,,,
36,自動車部品,"2,651,174","1,640,199","1,010,975","2,348,864","1,510,412","838,452","302,310",112.9%,,,,,,,
37,その他輸送機械,"606,300","136,215","470,085","594,758","124,235","470,523","11,542",101.9%,,,,,,,
38,産業機械,"3,764,129","2,130,101","1,634,028","3,689,844","2,134,873","1,554,971","74,285",102.0%,,,,,,,
39,電気機械,"4,016,224","786,866","3,229,358","3,963,449","785,855","3,177,594","52,775",101.3%,,,,,,,
40,測量・光学・医療用機械,"611,606","243,949","367,657","517,023","192,809","324,214","94,583",118.3%,,,,,,,
41,事務用機器,"243,687","95,340","148,347","315,133","154,082","161,051","-71,446",77.3%,,,,,,,
42,その他機械,"60,590","22,362","38,228","72,305","25,466","46,839","-11,715",83.8%,,,,,,,
化学工業品,,"14,318,293","2,935,628","11,382,665","13,656,567","2,818,378","10,838,189","661,726",104.8%,,,,,,,
43,陶磁器,"149,666","11,957","137,709","156,819","10,686","146,133","-7,153",95.4%,,,,,,,
44,セメント,"2,867,437","32,968","2,834,469","2,641,260","40,452","2,600,808","226,177",108.6%,,,,,,,
