月,航空旅客機／新中央航空（株）／降客（人）,航空旅客機／新中央航空（株）／乗客（人）,航空旅客機／新中央航空（株）／計（人）,航空旅客機／東邦航空（株）／降客（人）,航空旅客機／東邦航空（株）／乗客（人）,航空旅客機／東邦航空（株）／計（人）,航空旅客機／その他／降客（人）,航空旅客機／その他／乗客（人）,航空旅客機／その他／計（人）,航空旅客機／合計（人）,航空貨物取扱数量（kg）／卸,航空貨物取扱数量（kg）／積
4,601,667,1268,198,113,311,142,142,284,1863,1187,267
5,679,789,1468,156,84,240,160,160,320,2028,1093,222
6,576,626,1202,192,127,319,176,174,350,1871,1133,127
7,799,849,1648,164,93,257,200,200,400,2305,1220,149
8,1069,1159,2228,201,103,304,92,92,184,2716,1144,126
9,681,773,1454,168,112,280,91,91,182,1916,1105,82
10,597,645,1242,246,156,402,112,113,225,1869,1130,202
11,695,816,1511,265,189,454,99,99,198,2163,1087,211
12,709,843,1552,353,216,569,163,163,326,2447,1238,270
1,686,805,1491,298,224,522,125,126,251,2264,1086,179
2,633,709,1342,284,197,481,94,95,189,2012,1020,71
3,787,931,1718,277,217,494,139,138,277,2489,1165,80
計,8512,9612,18124,2802,1831,4633,1593,1593,3186,25943,13608,1986
9,681,773,145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,63,1,43,-,-,-,-,-,-,-,-,1,43,1,5,1,5,-,-,-,-,1,15,-,-,1,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,26,1,11,-,-,-,-,-,-,-,-,1,11,-,-,-,-,-,-,-,-,1,15,-,-,1,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,-,-,-,-,-,-,-,-,2,5,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,51,-,-,3,12,2,10,1,2,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,-,-,-,-,4,37,1,17,-,-,-,-,1,2,1,2,-,-,-,-,-,-,1,16,4,17,1,11,-,-,1,11,-,-,-,-,1,2,2,4,2,4,-,-,-,-,-,-,8,18,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,-,1,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,10,-,-,4,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13119,1311903002,譚ｿ讖句玄,譚ｿ讖句玄荳頑攸讖�,2荳∫岼,譚ｿ讖句玄荳頑攸讖�2荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,1,15,114,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,4,72,2,60,2,12,-,-,-,-,9,38,2,15,1,2,1,2,1,1,3,17,-,-,-,-,-,-,1,1,3,7,2,3,-,-,-,-,1,2,1,1,-,-,1,4,1,4,-,-,-,-,-,-,20,80,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,8,46,2,24,-,-,5,21,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,12,2,5,1,3,-,-,1,4,1,1,1,1,-,-,-,-,-,-,-,-,-,-,6,20,-,-,2,3,1,7,-,-,-,-,-,-,-,-,1,5,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13119,1311903003,譚ｿ讖句玄,譚ｿ讖句玄荳頑攸讖�,3荳∫岼,譚ｿ讖句玄荳頑攸讖�3荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,17,1,7,-,-,-,-,-,-,-,-,1,7,2,10,-,-,1,3,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,37,1,5,1,5,-,-,-,-,-,-,-,-,-,-,2,32,1,25,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,37,1,4,1,1,-,-,1,1,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,30,1,14,-,-,2,2,-,-,2,14,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,1,8,1,8,-,-,-,-,-,-,4,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,1,2,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13119,1311900500,譚ｿ讖句玄,譚ｿ讖句玄辭企㍽逕ｺ,,譚ｿ讖句玄辭企㍽逕ｺ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,19,1,15,-,-,-,-,-,-,-,-,1,15,-,-,-,-,1,4,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,3,21,1,7,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,14,-,-,-,-,1,12,1,2,-,-,10,95,2,5,-,-,-,-,2,5,-,-,-,-,2,34,-,-,2,34,-,-,5,53,-,-,5,53,1,3,-,-,1,3,-,-,2,106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,1,3,-,-,-,-,-,-,-,-,-,-,1,103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,103,-,-,-,-,-,-,1,2,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,2,43,2,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,28,1,3,1,3,-,-,-,-,-,-,2,12,1,13,-,-,-,-,-,-,1,13,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,1,5,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13119,1311902600,譚ｿ讖句玄,譚ｿ讖句玄蟆剰撃譬ｹ,,譚ｿ讖句玄蟆剰撃譬ｹ,-,-,-,-,-,-,4,16,-,-,-,-,-,-,-,-,3,12,1,8,1,3,1,1,-,-,1,4,-,-,-,-,-,-,1,4,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,12,-,-,-,-,1,12,-,-,-,-,-,-,-,-,-,-,11,50,5,15,3,10,-,-,1,2,-,-,1,3,1,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,20,-,-,2,20,3,12,-,-,-,-,-,-,3,12,-,-,11,122,1,3,-,-,-,-,-,-,1,3,-,-,4,46,-,-,4,46,-,-,5,67,-,-,5,67,1,6,-,-,-,-,1,6,8,62,1,24,-,-,-,-,-,-,1,24,-,-,-,-,3,8,-,-,-,-,2,4,1,4,1,8,-,-,1,8,3,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,249,-,-,-,-,-,-,-,-,1,7,-,-,1,7,-,-,2,5,-,-,-,-,-,-,-,-,-,-,9,237,5,121,1,8,-,-,-,-,1,1,-,-,1,2,-,-,1,105,7,76,5,73,3,37,-,-,1,33,1,3,1,1,1,2,1,2,-,-,-,-,-,-,13,49,1,1,-,-,-,-,1,1,-,-,1,1,1,1,-,-,-,-,-,-,6,42,1,3,2,9,3,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,1,-,-,1,1,2,2,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,5,19,5,19,-,-,-,-,2,7,-,-,3,12,-,-,-,-
6,13119,1311902601,譚ｿ讖句玄,譚ｿ讖句玄蟆剰撃譬ｹ,1荳∫岼,譚ｿ讖句玄蟆剰撃譬ｹ1荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,1,1,1,1,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,7,-,-,-,-,1,3,1,4,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,2,116,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,105,2,3,-,-,-,-,-,-,-,-,-,-,1,1,1,2,1,2,-,-,-,-,-,-,4,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,9,1,3,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,-,-,1,4,-,-,-,-
6,13119,1311902602,譚ｿ讖句玄,譚ｿ讖句玄蟆剰撃譬ｹ,2荳∫岼,譚ｿ讖句玄蟆剰撃譬ｹ2荳∫岼,-,-,-,-,-,-,4,16,-,-,-,-,-,-,-,-,3,12,1,8,1,3,1,1,-,-,1,4,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,16,2,9,1,7,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,1,6,-,-,-,-,1,6,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,24,1,21,-,-,-,-,-,-,1,1,-,-,1,2,-,-,-,-,2,44,2,44,1,11,-,-,1,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,1,1,-,-,-,-,1,1,-,-,1,1,1,1,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,1,4,-,-,-,-,-,-,-,-
6,13119,1311902603,譚ｿ讖句玄,譚ｿ讖句玄蟆剰撃譬ｹ,3荳∫岼,譚ｿ讖句玄蟆剰撃譬ｹ3荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,40,1,24,-,-,-,-,-,-,1,24,-,-,-,-,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,2,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,22,1,22,1,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,6,1,6,-,-,-,-,-,-,-,-,1,6,-,-,-,-
6,13119,1311902604,譚ｿ讖句玄,譚ｿ讖句玄蟆剰撃譬ｹ,4荳∫岼,譚ｿ讖句玄蟆剰撃譬ｹ4荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,23,2,5,1,2,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,13,-,-,1,13,1,5,-,-,-,-,-,-,1,5,-,-,3,54,-,-,-,-,-,-,-,-,-,-,-,-,2,42,-,-,2,42,-,-,1,12,-,-,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,3,89,3,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,4,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,32,-,-,1,8,2,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,2,5,-,-,-,-,1,3,-,-,1,2,-,-,-,-
6,13119,1311902605,譚ｿ讖句玄,譚ｿ讖句玄蟆剰撃譬ｹ,5荳∫岼,譚ｿ讖句玄蟆剰撃譬ｹ5荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,12,-,-,-,-,1,12,-,-,-,-,-,-,-,-,-,-,2,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,7,-,-,-,-,-,-,2,7,-,-,5,57,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,2,4,-,-,3,53,-,-,3,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,15,-,-,-,-,-,-,-,-,1,7,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13119,1311901400,譚ｿ讖句玄,譚ｿ讖句玄蟷ｸ逕ｺ,,譚ｿ讖句玄蟷ｸ逕ｺ,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,1,5,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,23,1,16,-,-,1,16,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,2,9,-,-,-,-,-,-,-,-,-,-,-,-,2,9,2,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,22,1,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,5,1,2,-,-,1,2,1,2,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,26,1,6,-,-,-,-,-,-,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,18,1,12,-,-,-,-,1,2,1,2,1,2,-,-,-,-,-,-,3,7,1,2,1,2,-,-,-,-,-,-,-,-,2,5,2,5,-,-,-,-,-,-,7,37,2,2,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,2,14,1,12,-,-,1,2,-,-,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,19,-,-,-,-,1,2,-,-,-,-,1,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
