一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準累計,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
184,世田谷区羽根木1-6-14,35.664528,139.660507,JGD2011,都道環状７号線（環七通り）,c,2010-05-11,2010-05-21,4,5,4.7,1.2,70,70
185,世田谷区太子堂1-4-24,35.645943,139.676056,JGD2011,国道２４６号（玉川通り）,c,2010-05-25,2010-06-04,3,6,4.4,1.2,73,73
186,世田谷区上馬4-1-3,35.635284,139.664078,JGD2011,国道２４６号（玉川通り）,c,2010-08-24,2010-09-03,3,6,3.2,1.2,74,73
187,世田谷区野毛1-25-1,35.605718,139.643334,JGD2011,都道環状８号線（環八通り）,b,2010-09-07,2010-09-17,4,6,2.7,1.2,74,73
188,世田谷区八幡山2-10-2,35.660605,139.614968,JGD2011,都道環状８号線（環八通り）,b,2010-10-05,2010-10-15,4,6,4.3,1.2,68,67
189,世田谷区北烏山9-3-8,35.669563,139.594894,JGD2011,国道２０号（甲州街道）,b,2010-10-19,2010-10-29,3,4,3.0,1.2,77,76
190,世田谷区等々力4-19-18,35.610874,139.652435,JGD2011,都道白金台町等々力線（目黒通り）,b,2010-04-13,2010-04-23,4,4,8.8,1.2,70,67
191,世田谷区世田谷1-11-18,35.642334,139.653488,JGD2011,都道世田谷町田線（世田谷通り）,c,2010-06-08,2010-06-18,4,2,3.5,1.2,70,68
192,世田谷区上北沢2-1-3,35.669216,139.617523,JGD2011,都道調布経堂停車場線（赤堤通り）,a,2010-06-22,2010-07-02,4,2,1.7,1.2,67,62
193,世田谷区大原1-6-16,35.667408,139.664627,JGD2011,都道赤杉並線（井の頭通り）,a,2010-07-06,2010-07-16,4,2,3.9,1.2,66,65
194,世田谷区野沢3-4,35.629002,139.674240,JGD2011,都道環状７号線（環七通り）,b,2010-12-07,2010-12-08,4,6,2.7,1.2,74,74
195,世田谷区太子堂2-13-2,35.644619,139.673004,JGD2011,国道２４６号（玉川通り）,c,2010-12-07,2010-12-08,3,7,2.6,1.2,74,75
196,世田谷区上北沢4-31-10,35.670990,139.617905,JGD2011,国道２０号（甲州街道）,c,2010-12-07,2010-12-08,3,4,4.7,1.2,71,72
197,世田谷区砧公園７,35.632093,139.624210,JGD2011,都道環状８号線（環八通り）,b,2010-12-07,2010-12-08,4,6,4.6,1.2,70,71
198,世田谷区瀬田2-31-2,35.618130,139.629593,JGD2011,国道２４６号（玉川通り）,b,2010-12-07,2010-12-08,3,8,3.0,1.2,75,76
199,世田谷区野毛3-20,35.604420,139.637070,JGD2011,都道大田調布線（多摩堤通り）,a,2010-12-07,2010-12-08,4,2,0.8,1.2,69,68
200,世田谷区松原1-39-11,35.670105,139.651138,JGD2011,国道２０号（甲州街道）,c,2010-12-07,2010-12-08,3,8,3.5,1.2,73,73
201,世田谷区成城3-18-23,35.634262,139.597687,JGD2011,都道世田谷町田線（世田谷通り）,b,2010-12-07,2010-12-08,4,2,2.5,1.2,72,71
202,世田谷区大原2丁目27,35.671265,139.658142,JGD2011,国道２０号,C,2010-11-04,2010-11-05,3,8,4,1.2,76,75
203,世田谷区玉川3丁目15,35.614845,139.625687,JGD2011,国道２４６号,C,2011-02-06,2011-02-06,3,6,6.5,1.2,61,61
204,世田谷区玉川2丁目27,35.615364,139.627899,JGD2011,国道２４６号,B,2011-02-06,2011-02-06,3,5,2,1.2,67,63
205,世田谷区上馬5丁目30,35.641384,139.658432,JGD2011,都道世田谷町田線,C,2010-11-04,2010-11-05,4,2,3.9,1.2,68,67
206,世田谷区世田谷1丁目18,35.642632,139.649506,JGD2011,都道世田谷町田線,C,2010-11-04,2010-11-05,4,2,3.9,1.2,71,68
207,世田谷区上用賀6丁目20,35.635181,139.622925,JGD2011,都道環状８号線,B,2010-10-27,2010-10-28,4,6,4.2,1.2,73,72
208,世田谷区桜丘5丁目31,35.643101,139.619003,JGD2011,都道環状８号線,B,2010-10-27,2010-10-28,4,6,3.2,1.2,75,73
209,世田谷区上北沢5丁目45,35.673977,139.613434,JGD2011,都道環状８号線,B,2010-11-04,2010-11-05,4,6,3.2,1.2,71,70
210,世田谷区等々力6丁目36,35.613297,139.657867,JGD2011,都道白金台町等々力線,B,2010-10-27,2010-10-28,4,4,6,1.2,66,63
211,世田谷区等々力1丁目19,35.603329,139.648132,JGD2011,都道白金台町等々力線,A,2010-10-27,2010-10-28,4,4,5.5,1.2,65,60
212,世田谷区野沢4丁目1,35.630295,139.671341,JGD2011,都道環状７号線,C,2010-11-04,2010-11-05,4,6,6.5,1.2,71,69
213,世田谷区代田1丁目23,35.652908,139.660538,JGD2011,都道環状７号線,B,2010-11-04,2010-11-05,4,6,6.5,1.2,72,72
,,,,,,荳�騾｣逡ｪ蜿ｷ,貂ｬ螳壼慍轤ｹ縺ｮ菴乗園,邱ｯ蠎ｦ,邨悟ｺｦ,蠎ｧ讓咏ｳｻ,驕楢ｷｯ蜷�,迺ｰ蠅�渕貅也ｴｯ險�,貂ｬ螳夐幕蟋句ｹｴ譛域律,貂ｬ螳夂ｵゆｺ�ｹｴ譛域律,驕楢ｷｯ遞ｮ蛻･,霆顔ｷ壽焚,霆企％遶ｯ縺九ｉ縺ｮ霍晞屬(m),蝨ｰ荳翫°繧峨�鬮倥＆(m),譏ｼ髢鍋ｭ我ｾ｡鬨帝浹繝ｬ繝吶Ν(dB),螟憺俣遲我ｾ｡鬨帝浹繝ｬ繝吶Ν(dB)
214,貂玖ｰｷ蛹ｺ貂玖ｰｷ2荳∫岼13,35.659016,139.706406,JGD2011,驛ｽ驕馴悚繝ｶ髢｢貂玖ｰｷ邱夲ｼ亥�譛ｬ譛ｨ騾壹ｊ��,C,2010-11-17,2010-11-18,4,6,7.5,1.2,70,72
215,貂玖ｰｷ蛹ｺ荳雁次1荳∫岼20,35.668144,139.683014,JGD2011,驛ｽ驕楢ｵ､蝮よ揄荳ｦ邱夲ｼ井ｺ輔�鬆ｭ邱夲ｼ�,C,2010-11-17,2010-11-18,4,4,3,1.2,70,68
216,貂玖ｰｷ蛹ｺ譛ｬ逕ｺ4荳∫岼19,35.688389,139.679703,JGD2011,驛ｽ驕捺眠螳ｿ蝗ｽ遶狗ｷ夲ｼ域婿蜊鈴�壹ｊ��,C,2010-11-17,2010-11-18,4,2,4.5,1.2,68,68
