区分町村,路線名（整理番号）,区間,現道／延長（ｍ）,平現道／均総幅員（ｍ）,現道／面積（ｍ2）,規格改良延長（ｍ）,規格改良率（％）,歩道設置延長（ｍ）,歩道設置率（％）,舗装率（％）,摘要
大島町,大島公園線（都道207号）,自 大島町元町／至 大島町元町港,13738,8.3,114732,11506,83.8,2175,15.8,100,
大島町,大島循環線（都道208号）,自 大島町元町地の岡_大島公園線交点／至 大島町元町_大島公園線交点,43293,9.7,418455,43293,100,12514,28.9,100,
大島町,川の道岡田港線（都道209号）,自 大島町岡田川の道_大島循環線交点／至 大島町岡田港,1773,14.1,25101,1773,100,1396,78.7,100,
大島町,下地波浮港線（都道210号）,自 大島町差木地下地_大島循環線交点／至 大島町波浮港,1522,7.9,12040,1522,100,715,47,100,
大島町,計,,60326,,570328,58094,96.3,16800,27.8,100,
利島村,利島環状線（都道228号）,自 利島村利島港／至 利島村字郷,8803,6.7,58934,8716,99,0,0,100,
新島村,若郷新島港線（都道211号）,自 新島村若郷／至 新島村新島港,11778,11.4,133897,11778,100,3306,28.1,100,
新島村,式根島循環線（都道237号）,自 新島村／至 式根島字野伏同所,4630,7.2,33464,4630,100,50,1.1,100,
新島村,計,,16408,,167361,16408,100,3356,20.5,100,
神津島村,神戸山多幸線（都道224号）,自 神津島村長浜／至 神津島村多幸,12669,10.2,118523,12669,100,1718,13.6,100,
合計,,,98206,,915146,95887,97.6,21874,22.3,100,
合計,,,98区,四谷１丁目、市谷本村町の一部、若葉１丁目、本塩町,4,※,※,※
港区,8,芝公園・慶応大学一帯,港区芝公園、三田,676778,349109,港区,芝３、５丁目、芝公園３～４丁目、東麻布１～３丁目、三田１～５丁目、麻布台１丁目、虎ノ門５丁目,14,127374,2.72,1.0
港区,12,高輪三丁目・四丁目・御殿山地区,港区高輪／品川区北品川,235437,110924,港区,高輪１～４丁目、白金台２丁目,5,62298,1.78,1.4
港区,12,高輪三丁目・四丁目・御殿山地区,港区高輪／品川区北品川,※,※,品川区,北品川５～６丁目、４丁目の一部、東五反田１、３丁目の各一部,5,※,※,※
港区,13,自然教育園・聖心女子学院一帯,港区白金、白金台／品川区上大崎,365905,182103,港区,白金１～６丁目、白金台１、３～５丁目,10,70533,2.58,1.9
港区,13,自然教育園・聖心女子学院一帯,港区白金、白金台／品川区上大崎,※,※,品川区,荏原１丁目の一部、上大崎１～４丁目、西五反田３、５、６丁目の各一部、東五反田４丁目、１、３丁目の各一部,11,※,※,※
港区,14,有栖川宮記念公園一帯,港区南麻布,93922,48850,港区,元麻布１～２丁目、南麻布１～５丁目、麻布十番２～４丁目、麻布十番１丁目の一部,11,31923,1.53,0.8
港区,15,青山墓地一帯,港区南青山、六本木,372800,241773,港区,元麻布３丁目、西麻布１～４丁目、南青山１～７丁目、麻布十番１丁目の一部、六本木７丁目,14,81592,2.96,1.0
港区,17,明治神宮外苑地区,港区北青山／新宿区霞ヶ丘町／渋谷区神宮前、千駄ヶ谷,701606,405113,港区,北青山１～３丁目,3,92689,4.37,2.0
港区,17,明治神宮外苑地区,港区北青山／新宿区霞ヶ丘町／渋谷区神宮前、千駄ヶ谷,※,※,新宿区,荒木町、市谷本村町の一部、霞ヶ丘町、片町、坂町、左門町、三栄町、信濃町、須賀町、大京町、南元町、四谷２～３丁目、若葉２～３丁目,15,※,※,※
港区,17,明治神宮外苑地区,港区北青山／新宿区霞ヶ丘町／渋谷区神宮前、千駄ヶ谷,※,※,渋谷区,神宮前２～３丁目の各一部、千駄ケ谷１～２丁目の各一部,4,※,※,※
新宿区,7,迎賓館一帯,港区元赤坂／新宿区南元町、四谷、若葉,89472,62869,港区,元赤坂１～２丁目,2,22359,2.81,0.9
新宿区,7,迎賓館一帯,港区元赤坂／新宿区南元町、四谷、若葉,※,※,新宿区,四谷１丁目、市谷本村町の一部、若葉１丁目、本塩町,4,※,※,※
