"実数・増加率","年次・四半期・月次コード","年次・四半期・月次","西暦（年）","月","調査世帯数(世帯）","世帯人員（人）","有業人員（人）","世帯主平均年齢（歳）","生計支出（円）","生計支出／消費支出（円）","生計支出／消費支出／食料（円）","生計支出／消費支出／住居（円）","生計支出／消費支出／光熱・水道（円）","生計支出／消費支出／家具・家事用品（円）","生計支出／消費支出／被服及び履物（円）","生計支出／消費支出／保健医療（円）","生計支出／消費支出／交通・通信（円）","生計支出／消費支出／教育（円）","生計支出／消費支出／教養娯楽（円）","生計支出／消費支出／その他の消費支出（円）","生計支出／消費支出／その他の消費支出／諸雑費（円）","生計支出／土地家屋購入（円）"
"Jissu","nen","実数_平成31年・令和元年平均","2019","",703,2.92,1.31,60.8,330278,326563,87921,23613,21274,12296,14047,16717,36545,19284,37513,57353,25810,3716
"Jissu","nen","実数_令和 2年平均","2020","",689,2.94,1.32,59.4,331138,319428,90238,27590,21508,13578,11365,17767,34165,19167,31569,52480,24795,11710
"Jissu","nen","実数_令和 3年平均","2021","",674,2.91,1.36,59.6,340536,322669,90453,26599,20196,13735,11007,18384,34635,19093,32384,56182,28199,17868
"Jissu","nen","実数_令和 4年平均","2022","",637,2.90,1.32,59.6,329608,324667,88881,26865,23328,12768,11756,17369,34883,19540,35037,54240,29131,4941
"Jissu","sihan","実数_令和 4年 4～ 6月","2022","04～06",646,2.91,1.29,59.2,322098,317186,85003,29095,23088,11455,11271,15795,37846,24446,32413,46774,23592,4912
"Jissu","sihan","実数_令和 4年 7～ 9月","2022","07～09",644,2.89,1.33,59.9,323351,322179,89751,22489,20226,13321,10559,19421,34462,19510,39590,52849,29914,1172
"Jissu","sihan","実数_令和 4年10～12月","2022","10～12",625,2.93,1.37,59.6,353865,353865,98829,29668,23064,15976,14751,18858,35127,20423,37584,59586,31284,-
"Jissu","sihan","実数_令和 5年 1～ 3月","2023","01～03",599,2.94,1.43,59.6,328108,328108,90108,24634,32575,9801,11350,16595,32582,16997,39875,53592,27444,-
"Jissu","sihan","実数_令和 5年 4～ 6月","2023","04～06",611,2.95,1.42,59.4,333721,332995,94105,25848,22985,12659,11824,16349,33469,29654,36768,49334,25744,726
"Jissu","tuki","実数_令和 4年 7月","2022","7",632,2.88,1.31,60.1,315107,315107,89449,23954,18270,12362,11194,17721,32208,17084,41933,50932,29135,-
"Jissu","tuki","実数_令和 4年 8月","2022","8",656,2.90,1.33,59.8,328143,328143,90549,21080,21342,13914,8677,22546,34815,14003,41376,59841,36766,-
"Jissu","tuki","実数_令和 4年 9月","2022","9",644,2.88,1.34,59.7,326803,323288,89256,22433,21067,13688,11807,17995,36364,27443,35461,47775,23841,3515
"Jissu","tuki","実数_令和 4年10月","2022","10",636,2.90,1.34,60.0,337010,337010,94608,26408,23156,14148,15701,18943,36124,19273,35651,52999,29911,-
"Jissu","tuki","実数_令和 4年11月","2022","11",624,2.95,1.37,59.5,346572,346572,92053,34602,21395,15288,14049,18861,32302,21758,37025,59239,28628,-
"Jissu","tuki","実数_令和 4年12月","2022","12",616,2.94,1.40,59.4,378014,378014,109827,27994,24640,18491,14504,18769,36955,20239,40076,66520,35312,-
"Jissu","tuki","実数_令和 5年 1月","2023","1",590,2.93,1.45,59.7,342467,342467,91487,29029,31180,10873,13045,15540,32163,16465,42296,60390,25760,-
"Jissu","tuki","実数_令和 5年 2月","2023","2",601,2.92,1.41,59.8,296643,296643,84615,24197,33282,8132,8019,16503,25971,16274,32481,47170,29938,-
"Jissu","tuki","実数_令和 5年 3月","2023","3",607,2.97,1.44,59.4,345213,345213,94221,20675,33262,10397,12987,17743,39612,18251,44849,53215,26635,-
"Jissu","tuki","実数_令和 5年 4月","2023","4",602,2.94,1.43,59.4,369068,369068,93678,24730,26718,11931,13042,17934,32649,55156,36525,56706,29635,-
"Jissu","tuki","実数_令和 5年 5月","2023","5",614,2.95,1.43,59.3,316448,314270,96374,23429,22891,12672,10726,14371,33055,18983,38343,43426,21809,2179
"Jissu","tuki","実数_令和 5年 6月","2023","6",617,2.96,1.40,59.6,315648,315648,92262,29384,19347,13375,11703,16743,34703,14824,35437,47871,25788,-
"Jissu","tuki","実数_令和 5年 7月","2023","7",621,2.97,1.42,58.7,319403,319403,97705,21399,16511,12997,12394,18253,35608,15502,37388,51648,27571,-
"meimoku","nen","対前年（同期・同月）名目増加率_平成31年・令和元年平均","2019","",-,-,-,-,2.1,1.3,2.1,-1.4,-0.5,14.7,2.9,3.9,2.5,-5.5,4.0,-1.6,0.8,266.8
"meimoku","nen","対前年（同期・同月）名目増加率_令和 2年平均","2020","",-,-,-,-,0.3,-2.2,2.6,16.8,1.1,10.4,-19.1,6.3,-6.5,-0.6,-15.8,-8.5,-3.9,215.1
"meimoku","nen","対前年（同期・同月）名目増加率_令和 3年平均","2021","",-,-,-,-,2.8,1.0,0.2,-3.6,-6.1,1.2,-3.2,3.5,1.4,-0.4,2.6,7.1,13.7,52.6
"meimoku","nen","対前年（同期・同月）名目増加率_令和 4年平均","2022","",-,-,-,-,-3.2,0.6,-1.7,1.0,15.5,-7.0,6.8,-5.5,0.7,2.3,8.2,-3.5,3.3,-72.3
"meimoku","sihan","対前年（同期・同月）名目増加率_令和 4年 4～ 6月","2022","04～06",-,-,-,-,-3.1,-3.0,-4.7,26.5,14.4,-18.5,-2.8,-18.5,17.8,-7.6,4.1,-21.8,-33.4,-8.1
"meimoku","sihan","対前年（同期・同月）名目増加率_令和 4年 7～ 9月","2022","07～09",-,-,-,-,-7.3,6.5,0.5,-6.4,17.8,-4.2,24.0,2.2,-3.0,39.4,23.7,7.9,19.5,-97.5
"meimoku","sihan","対前年（同期・同月）名目増加率_令和 4年10～12月","2022","10～12",-,-,-,-,0.7,3.2,2.9,-9.5,22.0,15.2,14.3,9.4,-5.4,8.5,3.7,1.1,17.6,-100.0
"meimoku","sihan","対前年（同期・同月）名目増加率_令和 5年 1～ 3月","2023","01～03",-,-,-,-,2.8,7.4,10.0,-6.0,20.9,-5.0,8.7,7.7,1.5,23.3,30.5,-7.2,-13.5,-100.0
"meimoku","sihan","対前年（同期・同月）名目増加率_令和 5年 4～ 6月","2023","04～06",-,-,-,-,3.6,5.0,10.7,-11.2,-0.4,10.5,4.9,3.5,-11.6,21.3,13.4,5.5,9.1,-85.2
