町村,障害部位,1級,2級,3級,4級,5級,6級,計,新規件数
6,13118,1311800301,闕貞ｷ晏玄,闕貞ｷ晏玄逕ｺ螻�,1荳∫岼,闕貞ｷ晏玄逕ｺ螻�1荳∫岼,-,-,-,-,-,-,1,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,68,-,-,1,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,100,2,9,-,-,-,-,-,-,-,-,2,9,-,-,-,-,-,-,-,-,2,91,1,47,1,44,-,-,-,-,-,-,-,-,5,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,14,-,-,3,14,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,-,-,4,8,1,2,1,2,-,-,-,-,3,6,3,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,26,-,-,-,-,-,-,-,-,1,3,-,-,1,3,-,-,2,4,1,7,-,-,1,7,-,-,-,-,3,12,1,3,-,-,-,-,1,8,-,-,1,1,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,7,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,11,-,-,-,-,2,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,2,4,-,-,-,-,-,-,-,-,-,-,3,6,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,2,4,1,1,1,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-
6,13118,1311800302,闕貞ｷ晏玄,闕貞ｷ晏玄逕ｺ螻�,2荳∫岼,闕貞ｷ晏玄逕ｺ螻�2荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,1,2,1,2,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,120,-,-,1,2,-,-,1,2,-,-,-,-,-,-,-,-,2,16,4,24,2,3,2,21,-,-,-,-,6,78,3,59,-,-,-,-,-,-,2,16,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,58,-,-,-,-,-,-,-,-,-,-,2,5,1,2,-,-,1,3,-,-,5,25,-,-,1,1,4,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,9,1,8,-,-,-,-,1,1,2,4,1,2,1,2,-,-,-,-,-,-,-,-,7,15,-,-,3,5,2,6,-,-,-,-,-,-,-,-,-,-,2,4,2,4,1,2,-,-,-,-,-,-,-,-,1,2,1,2,-,-
6,13118,1311800303,闕貞ｷ晏玄,闕貞ｷ晏玄逕ｺ螻�,3荳∫岼,闕貞ｷ晏玄逕ｺ螻�3荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,17,1,17,-,-,-,-,-,-,-,-,1,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,1,5,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,2,-,-,1,7,-,-,1,7,2,18,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,15,-,-,-,-,-,-,7,15,1,2,-,-,1,2,-,-,5,11,5,11,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,9,106,1,75,1,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,1,1,1,1,-,-,5,26,1,20,-,-,-,-,-,-,-,-,1,1,2,4,-,-,1,1,6,17,1,2,-,-,-,-,-,-,1,2,3,11,2,4,2,4,-,-,-,-,-,-,11,60,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,4,35,1,20,-,-,3,15,-,-,-,-,-,-,-,-,-,-,2,14,1,12,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,10,-,-,2,5,1,3,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13118,1311800304,闕貞ｷ晏玄,闕貞ｷ晏玄逕ｺ螻�,4荳∫岼,闕貞ｷ晏玄逕ｺ螻�4荳∫岼,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,2,-,-,1,5,1,5,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,18,-,-,1,2,-,-,1,2,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,14,1,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,1,3,1,3,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,9,25,1,1,-,-,-,-,1,1,-,-,1,2,1,2,-,-,-,-,-,-,1,3,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,2,10,-,-,-,-,1,6,1,4,-,-,-,-,-,-,-,-,1,2,-,-,1,2,2,5,-,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,28,1,4,-,-,-,-,-,-,-,-,1,4,-,-,1,24
6,13118,1311800305,闕貞ｷ晏玄,闕貞ｷ晏玄逕ｺ螻�,5荳∫岼,闕貞ｷ晏玄逕ｺ螻�5荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,16,-,-,-,-,-,-,-,-,-,-,-,-,1,10,-,-,-,-,1,10,1,5,-,-,1,5,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,1,2,-,-,-,-,-,-,-,-,1,2,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,3,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-,1,2,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13118,1311800306,闕貞ｷ晏玄,闕貞ｷ晏玄逕ｺ螻�,6荳∫岼,闕貞ｷ晏玄逕ｺ螻�6荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,1,3,2,4,-,-,1,3,1,1,3,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,1,3,-,-,1,1,-,-,-,-,-,-,-,-,1,56,-,-,-,-,-,-,1,56,-,-,-,-,-,-,-,-,-,-,1,75,1,75,-,-,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,12,-,-,-,-,1,12,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,2,3,1,1,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,6,18,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,-,-,-,-,1,5,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,2,8,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13118,1311800307,闕貞ｷ晏玄,闕貞ｷ晏玄逕ｺ螻�,7荳∫岼,闕貞ｷ晏玄逕ｺ螻�7荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,3,18,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,14,1,14,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,16,-,-,1,16,-,-,-,-,-,-,-,-,2,14,1,13,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,18,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,16,1,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,12,2,9,1,8,-,-,1,1,-,-,-,-,1,3,-,-,-,-,-,-,1,3,3,4,2,3,-,-,1,2,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13118,1311800308,闕貞ｷ晏玄,闕貞ｷ晏玄逕ｺ螻�,8荳∫岼,闕貞ｷ晏玄逕ｺ螻�8荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,93,-,-,1,93,-,-,-,-,-,-,-,-,1,2,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,9,1,2,1,2,-,-,1,4,-,-,-,-,-,-,1,3,-,-,1,3,-,-,-,-,-,-,-,-,-,-,3,7,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,1,3,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,18,1,3,1,3,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,1,9,-,-,-,-,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,2,2,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,7,1,7,-,-,-,-,-,-,-,-,1,7,-,-,-,-
5,13118,1311800100,闕貞ｷ晏玄,闕貞ｷ晏玄蜊怜鴻菴�,,闕貞ｷ晏玄蜊怜鴻菴�,-,-,-,-,-,-,7,21,1,2,-,-,-,-,1,2,1,3,-,-,-,-,1,3,-,-,5,16,-,-,2,7,-,-,3,9,10,78,3,7,-,-,-,-,1,2,-,-,2,5,-,-,-,-,7,71,-,-,1,2,1,12,1,10,1,1,-,-,-,-,3,46,14,70,4,18,2,11,-,-,-,-,1,2,1,5,5,23,-,-,2,5,3,18,1,2,1,2,-,-,1,13,1,13,-,-,-,-,1,4,-,-,1,4,2,10,-,-,-,-,-,-,2,10,-,-,12,123,3,15,-,-,-,-,-,-,1,10,2,5,4,25,1,2,3,23,-,-,5,83,1,1,4,82,-,-,-,-,-,-,-,-,13,83,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,18,-,-,4,18,8,64,2,8,-,-,1,4,1,1,-,-,-,-,1,12,-,-,3,39,-,-,-,-,-,-,31,164,4,10,-,-,4,10,4,14,14,75,14,75,-,-,5,15,3,12,2,3,4,50,-,-,-,-,2,47,2,3,84,891,5,442,4,12,4,12,-,-,6,23,4,13,2,10,7,44,8,18,14,72,7,35,1,2,5,32,1,3,40,280,11,194,2,3,-,-,6,12,9,40,7,17,3,10,-,-,2,4,12,41,4,19,1,14,-,-,-,-,3,5,3,6,5,16,4,11,-,-,-,-,1,5,87,393,6,11,2,4,-,-,4,7,-,-,9,15,4,7,5,8,-,-,-,-,24,184,6,96,1,2,12,72,5,14,1,1,-,-,-,-,1,1,7,53,4,39,3,14,9,58,3,12,1,1,2,34,3,11,3,6,2,3,-,-,1,3,6,16,-,-,6,16,22,49,-,-,5,9,8,19,-,-,1,2,-,-,-,-,-,-,8,19,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4
6,13118,1311800101,闕貞ｷ晏玄,闕貞ｷ晏玄蜊怜鴻菴�,1荳∫岼,闕貞ｷ晏玄蜊怜鴻菴�1荳∫岼,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,1,3,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,2,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,21,1,10,-,-,-,-,-,-,1,10,-,-,1,2,1,2,-,-,-,-,2,9,1,1,1,8,-,-,-,-,-,-,-,-,3,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,1,3,2,8,1,4,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,31,1,1,-,-,1,1,2,3,10,18,10,18,-,-,1,2,1,2,-,-,3,7,-,-,-,-,1,4,2,3,33,258,1,161,3,7,3,7,-,-,4,15,2,5,2,10,4,7,3,10,4,13,2,5,-,-,2,8,-,-,14,45,1,12,-,-,-,-,3,6,4,11,4,9,1,5,-,-,1,2,4,20,1,14,1,14,-,-,-,-,-,-,1,1,2,5,2,5,-,-,-,-,-,-,25,71,1,2,-,-,-,-,1,2,-,-,4,7,4,7,-,-,-,-,-,-,6,29,1,16,-,-,2,8,3,5,1,1,-,-,-,-,1,1,1,2,-,-,1,2,3,8,1,5,1,1,-,-,1,2,-,-,-,-,-,-,-,-,2,4,-,-,2,4,7,18,-,-,1,2,4,9,-,-,-,-,-,-,-,-,-,-,2,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13118,1311800102,闕貞ｷ晏玄,闕貞ｷ晏玄蜊怜鴻菴�,2荳∫岼,闕貞ｷ晏玄蜊怜鴻菴�2荳∫岼,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-,1,6,2,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,12,-,-,1,2,-,-,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,1,4,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,5,1,2,-,-,-,-,1,3,3,31,1,26,-,-,-,-,-,-,1,2,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,13,-,-,-,-,-,-,-,-,-,-,2,3,-,-,2,3,-,-,-,-,2,6,-,-,1,2,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
