町村,障害部位,1級,2級,3級,4級,5級,6級,計,新規件数
総数,視覚,6,8,3,7,3,4,31,4
総数,聴覚,5,8,2,20,0,19,54,5
総数,言語,0,1,2,0,0,0,3,0
総数,肢体不自由,38,60,61,106,21,14,300,14
総数,内部障害,128,1,8,6,0,0,143,8
総数,膀胱直腸,0,1,1,18,0,0,20,6
総数,計,177,79,77,157,24,37,551,37
大島町,視覚,3,4,1,2,3,2,15,2
大島町,聴覚,3,3,2,6,0,11,25,5
大島町,言語,0,1,1,0,0,0,2,0
大島町,肢体不自由,15,30,30,58,13,5,151,8
大島町,内部障害,85,0,3,4,0,0,92,4
大島町,膀胱直腸,0,0,1,15,0,0,16,6
大島町,計,106,38,38,85,16,18,301,25
利島村,視覚,0,1,0,1,0,0,2,0
利島村,聴覚,0,0,0,1,0,1,2,0
利島村,言語,0,0,0,0,0,0,0,0
利島村,肢体不自由,0,1,2,4,1,0,8,0
利島村,内部障害,1,0,0,0,0,0,1,0
利島村,膀胱直腸,0,0,0,0,0,0,0,0
利島村,計,1,2,2,6,1,1,13,0
新島村,視覚,3,1,2,3,0,1,10,1
新島村,聴覚,0,2,0,9,0,3,14,0
新島村,言語,0,0,1,0,0,0,1,0
新島村,肢体不自由,12,17,25,31,6,5,96,6
新島村,内部障害,29,0,2,2,0,0,33,4
新島村,膀胱直腸,0,1,0,1,0,0,2,0
新島村,計,44,21,30,46,6,9,156,11
神津島村,視覚,0,2,0,1,0,1,4,1
神津島村,聴覚,2,3,0,4,0,4,13,0
神津島村,言語,0,0,0,0,0,0,0,0
神津島村,肢体不自由,11,12,4,13,1,4,45,0
神津島村,内部障害,13,1,3,0,0,0,17,0
神津島村,膀胱直腸,0,0,0,2,0,0,2,0
神津島村,計,26,18,7,20,1,9,81,1
神津島村,聴�,36,1,17,3,19,-,-,-,-,3,6,-,-,-,-,-,-,1,2,-,-,2,4,-,-,-,-,-,-,3,6,-,-,-,-,-,-,-,-,-,-,-,-,3,6,2,3,1,3,-,-,-,-,15,76,-,-,-,-,-,-,-,-,-,-,1,6,-,-,1,6,-,-,-,-,7,44,3,26,-,-,4,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,1,1,-,-,1,3,1,5,1,5,-,-,-,-,1,6,-,-,1,6,3,11,-,-,1,3,1,1,-,-,-,-,1,7,-,-,-,-,-,-,2,18,2,18,-,-,-,-,-,-,2,18,-,-,-,-,-,-
6,13118,1311800606,闕貞ｷ晏玄,闕貞ｷ晏玄譚ｱ譌･證ｮ驥�,6荳∫岼,闕貞ｷ晏玄譚ｱ譌･證ｮ驥�6荳∫岼,-,-,-,-,-,-,8,27,4,13,2,7,-,-,2,6,1,4,-,-,-,-,-,-,1,4,3,10,-,-,-,-,1,3,2,7,7,19,2,5,-,-,1,2,1,3,-,-,-,-,-,-,-,-,5,14,1,2,1,4,2,6,-,-,-,-,-,-,-,-,1,2,7,90,1,3,-,-,-,-,-,-,-,-,1,3,3,54,-,-,-,-,3,54,1,27,1,27,-,-,-,-,-,-,-,-,-,-,1,5,-,-,1,5,1,1,-,-,-,-,-,-,-,-,1,1,6,49,5,29,1,5,1,11,-,-,-,-,3,13,-,-,-,-,-,-,-,-,1,20,-,-,1,20,-,-,-,-,-,-,-,-,8,107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,34,-,-,1,34,-,-,-,-,1,9,-,-,1,9,6,64,1,44,-,-,-,-,-,-,-,-,-,-,-,-,1,2,4,18,-,-,-,-,-,-,12,34,4,6,4,6,-,-,-,-,5,22,5,22,-,-,1,2,1,2,-,-,2,4,-,-,-,-,1,2,1,2,12,45,1,6,2,5,2,5,-,-,1,3,1,3,-,-,-,-,3,15,1,4,-,-,1,4,-,-,-,-,4,12,1,8,-,-,1,1,1,2,-,-,1,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,16,84,1,1,-,-,-,-,1,1,-,-,1,3,1,3,-,-,-,-,-,-,5,14,1,3,-,-,2,6,2,5,-,-,-,-,-,-,-,-,2,5,2,5,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,1,3,-,-,1,3,5,56,-,-,1,1,2,7,-,-,-,-,-,-,-,-,-,-,2,48,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
5,13118,1311800300,闕貞ｷ晏玄,闕貞ｷ晏玄逕ｺ螻�,,闕貞ｷ晏玄逕ｺ螻�,-,-,-,-,-,-,2,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,70,-,-,1,68,1,2,-,-,3,11,2,7,-,-,-,-,1,5,-,-,1,2,-,-,-,-,1,4,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,9,55,4,23,1,2,1,1,-,-,-,-,2,20,1,10,-,-,-,-,1,10,2,19,1,14,1,5,1,1,-,-,-,-,1,1,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,234,4,16,-,-,-,-,-,-,-,-,4,16,1,1,-,-,1,1,-,-,6,211,1,47,5,164,3,6,-,-,1,3,2,3,15,121,2,15,2,15,-,-,-,-,-,-,-,-,-,-,3,6,1,3,-,-,2,3,-,-,4,21,-,-,4,21,6,79,1,3,-,-,-,-,1,56,-,-,-,-,-,-,-,-,4,20,1,75,1,75,-,-,18,49,4,8,3,6,1,2,1,4,10,20,10,20,-,-,1,3,-,-,1,3,2,14,1,2,-,-,1,12,-,-,42,302,1,75,4,9,2,5,2,4,2,6,1,3,1,3,2,3,6,23,8,34,3,4,4,29,1,1,-,-,19,152,8,115,-,-,-,-,1,8,2,16,5,8,2,4,-,-,1,1,16,44,6,17,3,12,-,-,1,1,2,4,4,13,6,14,5,11,-,-,-,-,1,3,60,204,5,8,1,3,1,2,2,2,1,1,5,11,3,6,1,2,1,3,-,-,14,88,1,20,1,1,11,62,1,5,-,-,-,-,-,-,-,-,5,24,3,20,2,4,4,19,1,8,-,-,1,6,2,5,4,8,3,6,1,2,-,-,2,4,1,2,1,2,21,42,-,-,11,20,3,9,-,-,-,-,-,-,-,-,-,-,7,13,6,40,4,14,-,-,-,-,-,-,1,1,3,13,1,2,1,24
